interval	time	level_max	level_avg	level_min
I	-296934331	25.6	19.6	13.6
I	-296912039.9	14.5	12	9.5
I	-296911148.3	18.2	12.2	6.2
I	-296897773.6	43.6	28.6	13.6
I	-296897238.6	9	3	-3
I	-296895990.3	43.5	28.5	13.5
I	-296895455.3	2.6	0.6	-1.4
I	-296891888.7	11	5	-1
I	-296887430.5	0.3	-1.7	-3.7
I	-296886538.9	9.1	3.1	-2.9
I	-296884398.9	3.9	1.9	-0.1
I	-296878157.4	9.1	3.1	-2.9
I	-296875482.5	1	-1	-3
I	-296872807.6	8.8	2.8	-3.2
I	-296870132.6	0.1	-1.9	-3.9
I	-296868349.3	8.6	2.6	-3.4
I	-296865674.4	3	1	-1
I	-296859432.9	7.9	1.9	-4.1
I	-296857114.6	2.8	0.8	-1.2
I	-296850516.5	7.7	1.7	-4.3
I	-296847841.5	0.9	-1.1	-3.1
I	-296843383.3	6	3.5	1
I	-296842698.5	41.7	26.7	11.7
I	-296840986.6	-0.7	-2.7	-4.7
I	-296838311.6	6.9	4.4	1.9
I	-296836029	-1.2	-3.2	-5.2
I	-296833710.8	66.4	53.9	41.4
I	-296831808.6	2.2	0.2	-1.8
I	-296824318.8	41.2	26.2	11.2
I	-296822036.2	4	2	0
I	-296811336.4	51.4	36.4	21.4
II	-296793503.6	39.1	24.1	9.1
II	-296792076.9	8.9	6.4	3.9
II	-296790828.6	8.9	6.4	3.9
II	-296789402	3.7	-2.3	-8.3
II	-296788153.7	8.8	6.3	3.8
II	-296786727.1	-7.4	-8.2	-8.9
II	-296786270.5	-7.3	-8.8	-10.3
II	-296783417.3	-5.5	-6.3	-7
II	-296779993.4	-7.5	-8.2	-9
II	-296779101.7	-7.7	-8.4	-9.2
II	-296778416.9	-8	-8.7	-9.5
II	-296778131.6	-7.9	-8.6	-9.4
II	-296777703.6	-8	-8.3	-8.5
II	-296777418.3	-7.7	-8.5	-9.2
II	-296776733.5	-7.8	-8	-8.3
II	-296776020.2	-7.8	-8	-8.3
II	-296775306.9	-7.8	-8.1	-8.3
II	-296774593.6	-9.5	-10.5	-11.5
II	-296774137	-8.1	-8.3	-8.6
II	-296773709.1	-8.8	-9.8	-10.8
II	-296772111.2	-8	-8.2	-8.5
II	-296771397.9	-9.5	-10.5	-11.5
II	-296770713.1	-8.1	-8.3	-8.6
II	-296769999.8	-9.8	-10.8	-11.8
II	-296769543.3	-8.3	-8.6	-8.8
II	-296769115.3	-9	-10	-11
II	-296767517.5	-8.4	-8.7	-8.9
II	-296767089.5	-9.1	-10.1	-11.1
II	-296765491.7	-7.8	-8.1	-8.3
II	-296764065	-9.9	-10.9	-11.9
II	-296763380.3	-8.7	-9	-9.2
II	-296763094.9	-9.9	-10.9	-11.9
II	-296762410.1	-8.3	-8.5	-8.8
II	-296761411.5	-10	-11	-12
II	-296760726.7	-7.8	-8.1	-8.3
II	-296759014.8	-9.8	-10.8	-11.8
II	-296757873.5	-8.9	-9.1	-9.4
II	-296757445.5	-10.4	-11.4	-12.4
II	-296756988.9	-8.9	-9.2	-9.4
II	-296756561	-10.4	-11.4	-12.4
II	-296756104.4	-9	-9.2	-9.5
II	-296755676.4	-10.5	-11.5	-12.5
II	-296755219.9	-9	-9.3	-9.5
II	-296754791.9	-10	-11	-12
II	-296753650.6	-9.2	-9.4	-9.7
II	-296753365.3	-10.4	-11.4	-12.4
II	-296752680.5	-10.6	-11.6	-12.6
II	-296752224	-9.2	-9.4	-9.7
II	-296751796	-10.7	-11.7	-12.7
II	-296751339.5	-9.2	-9.5	-9.7
II	-296750911.5	-10.7	-11.7	-12.7
II	-296750455	-9.2	-9.5	-9.7
II	-296750027	-10.7	-11.7	-12.7
II	-296749570.5	-9.3	-9.5	-9.8
II	-296749142.5	-10.8	-11.8	-12.8
II	-296748686	-9.3	-9.6	-9.8
II	-296748258	-10.8	-11.8	-12.8
II	-296747801.4	-9.4	-9.6	-9.9
II	-296747373.5	-11	-12	-13
II	-296747145.2	-9.6	-9.9	-10.1
II	-296747002.5	-11.1	-12.1	-13.1
II	-296746774.3	-9.6	-9.9	-10.1
II	-296746631.6	-11.1	-12.1	-13.1
II	-296746403.4	-9.5	-9.8	-10
II	-296746118	-10	-11	-12
II	-296744291.9	-9.7	-10	-10.2
II	-296744149.3	-9.5	-9.7	-10
II	-296743578.6	-10.6	-11.6	-12.6
II	-296742437.3	-9.7	-10	-10.2
II	-296742152	-9.4	-10.4	-11.4
II	-296739184.6	-9.1	-9.3	-9.6
II	-296737758	-9.3	-10.3	-11.3
II	-296734334.1	-10.1	-10.4	-10.6
II	-296734048.7	-11.4	-12.4	-13.4
II	-296733363.9	-10.2	-10.4	-10.7
II	-296733078.6	-11.4	-12.4	-13.4
II	-296732393.8	-10.2	-10.5	-10.7
II	-296732108.5	-10.7	-11.7	-12.7
II	-296730282.4	-11.7	-12.4	-13.2
II	-296729034.1	-11.3	-12.3	-13.3
II	-296727892.8	-9.5	-10.3	-11
II	-296723434.6	-12.5	-13.2	-14
II	-296722899.6	-12.6	-13.3	-14.1
II	-296722443.1	-7.1	-8.1	-9.1
II	-296720617	-12.4	-13.1	-13.9
II	-296719725.4	-7	-8	-9
II	-296717442.8	-13	-13.8	-14.5
II	-296717214.5	-8.5	-9.5	-10.5
II	-296716986.2	-13	-13.8	-14.5
II	-296716758	-8.5	-9.5	-10.5
II	-296716529.7	-8.7	-9.5	-10.2
II	-296710138.4	-12.9	-13.6	-14.4
II	-296709246.8	-8.6	-9.6	-10.6
II	-296708562	-11.7	-12.4	-13.2
II	-296705822.8	-8.4	-9.4	-10.4
II	-296704681.5	-13	-13.7	-14.5
II	-296703540.2	-8.9	-9.9	-10.9
II	-296702855.5	-7.6	-9.1	-10.6
III	-296694581	-1.5	-7.5	-13.5
III	-296694224.3	35.7	20.7	5.7
III	-296690657.8	-1.7	-6.7	-11.7
III	-296690301.1	33.4	18.4	3.4
III	-296689766.1	47	32	17
III	-296669793.3	-5.4	-7.4	-9.4
III	-296661768.5	34.1	19.1	4.1
III	-296658201.9	31.6	16.6	1.6
III	-296657973.7	31.5	16.5	1.5
III	-296657795.3	31.6	16.6	1.6
III	-296657567.1	31.5	16.5	1.5
III	-296657388.7	31.6	16.6	1.6
III	-296657160.5	-10.8	-11.6	-12.3
III	-296656019.2	-13.1	-13.1	-13.1
III	-296655127.5	-13.3	-13.3	-13.3
III	-296654592.5	-13.8	-14.6	-15.5
III	-296654235.9	-10.5	-10.9	-11.3
III	-296649956	-14	-14.9	-15.7
III	-296649599.3	-12.6	-13	-13.4
III	-296649064.4	-12.8	-13.1	-13.5
III	-296648707.7	-12.7	-13	-13.4
III	-296648172.7	-12.8	-13.2	-13.6
III	-296647816.1	-12.7	-13.1	-13.5
III	-296647281.1	-12.9	-13.2	-13.6
III	-296646924.4	-12.7	-13.1	-13.5
III	-296646389.4	-14.2	-15	-15.9
III	-296646032.8	-11.9	-12.9	-13.9
III	-296645690.4	-13.1	-13.5	-13.9
III	-296645601.2	-14.1	-14.1	-14.1
III	-296645422.9	-12.1	-12.8	-13.6
III	-296645280.2	-12.1	-12.8	-13.6
III	-296645101.9	-12.1	-12.9	-13.6
III	-296644959.2	-12.1	-12.8	-13.6
III	-296644780.9	-12.1	-12.9	-13.6
III	-296644638.2	-12.1	-12.9	-13.6
III	-296644459.9	-12.1	-12.9	-13.6
III	-296644317.2	-12.1	-12.9	-13.6
III	-296644138.9	-11.3	-12	-12.8
III	-296642712.3	-11.8	-12.6	-13.3
III	-296642027.5	-12.3	-13	-13.8
III	-296641884.8	-12	-12.8	-13.5
