interval	-time	level
I	-296911956	24.8
I	-296892594	16.5
I	-296891819.5	17.3
I	-296880202.4	33.3
I	-296879737.7	7.8
I	-296878653.4	33.2
I	-296878188.7	5.5
I	-296875090.8	10
I	-296871218.4	3.2
I	-296870443.9	8.1
I	-296868585.2	7.1
I	-296863163.8	8.2
I	-296860840.4	4.1
I	-296858516.9	8
I	-296856193.5	3.3
I	-296854644.5	7.9
I	-296852321.1	6.5
I	-296846899.8	7.3
I	-296844886.1	6.4
I	-296839155	7.3
I	-296836831.5	4.5
I	-296832959.1	9
I	-296832378.3	32.2
I	-296830984.2	3
I	-296828660.8	10
I	-296826724.6	2.5
I	-296824710.9	59.6
I	-296823051.3	6.2
I	-296816545.7	32.1
I	-296814609.5	8.3
I	-296805315.8	43.3
II	-296789826.2	30.4
II	-296788587	12.7
II	-296787502.7	12.8
II	-296786263.6	4.1
II	-296785179.3	12.7
II	-296783940.1	-1.8
II	-296783552.9	-2.4
II	-296781229.5	0.3
II	-296778325.2	-1.7
II	-296777550.7	-1.9
II	-296776969.8	-2.2
II	-296776737.5	-2.1
II	-296776389	-1.7
II	-296776156.6	-1.9
II	-296775575.8	-1.5
II	-296774994.9	-1.5
II	-296774414	-1.5
II	-296773833.2	-3.9
II	-296773446	-1.7
II	-296773097.4	-3.1
II	-296771742.1	-1.6
II	-296771161.2	-3.9
II	-296770580.4	-1.7
II	-296769999.5	-4.1
II	-296769612.3	-1.9
II	-296769263.8	-3.3
II	-296767908.4	-2
II	-296767559.9	-3.4
II	-296766204.6	-1.3
II	-296765042.9	-4.1
II	-296764462	-2.2
II	-296764229.7	-4.2
II	-296763648.8	-1.7
II	-296762835.6	-4.2
II	-296762254.7	-1.3
II	-296760860.7	-4
II	-296759892.6	-2.3
II	-296759544.1	-4.5
II	-296759156.8	-2.3
II	-296758808.3	-4.5
II	-296758421.1	-2.3
II	-296758072.5	-4.6
II	-296757685.3	-2.4
II	-296757336.8	-4.1
II	-296756368.7	-2.5
II	-296756136.3	-4.5
II	-296755555.5	-4.7
II	-296755168.2	-2.5
II	-296754819.7	-4.7
II	-296754432.5	-2.5
II	-296754084	-4.7
II	-296753696.7	-2.5
II	-296753348.2	-4.8
II	-296752961	-2.6
II	-296752612.5	-4.8
II	-296752225.2	-2.6
II	-296751876.7	-4.8
II	-296751489.5	-2.6
II	-296751141	-5
II	-296750947.3	-2.8
II	-296750831.2	-5
II	-296750637.5	-2.8
II	-296750521.4	-5
II	-296750327.8	-2.8
II	-296750095.4	-3.9
II	-296748546.4	-2.9
II	-296748430.3	-2.6
II	-296747965.6	-4.5
II	-296746997.5	-2.9
II	-296746765.1	-3.2
II	-296744248.1	-2.2
II	-296743086.4	-3
II	-296740182.1	-3.2
II	-296739949.7	-5.1
II	-296739368.9	-3.2
II	-296739136.5	-5.1
II	-296738555.7	-3.2
II	-296738323.3	-4.3
II	-296736774.4	-5.1
II	-296735690.1	-4.9
II	-296734722	-2.7
II	-296730849.6	-5.8
II	-296730384.9	-5.9
II	-296729997.7	-0.7
II	-296728448.7	-5.6
II	-296727674.2	-0.4
II	-296725738	-6.3
II	-296725544.4	-2
II	-296725350.8	-6.3
II	-296725157.2	-2
II	-296724963.6	-1.8
II	-296719542.2	-6
II	-296718767.7	-1.9
II	-296718186.9	-4.7
II	-296715863.4	-1.7
II	-296714895.3	-6
II	-296713927.2	-2.1
II	-296713346.4	-1.4
III	-296706608.4	0.3
III	-296706298.6	28.7
III	-296703200.7	1.2
III	-296702890.9	26.3
III	-296702426.2	40.9
III	-296685077.9	1.2
III	-296678107.6	27.6
III	-296675009.7	25
III	-296674816	25
III	-296674661.1	25
III	-296674467.5	25
III	-296674312.6	25
III	-296674119	-3.1
III	-296673150.9	-4.6
III	-296672376.4	-4.9
III	-296671911.7	-6.2
III	-296671602	3.7
III	-296661040.9	-6.6
III	-296660731.1	-4.7
III	-296660266.4	-4.8
III	-296659956.6	-4.7
III	-296659491.9	-4.9
III	-296659182.1	-4.8
III	-296658717.4	-4.9
III	-296658407.6	-4.8
III	-296657943	-6.7
III	-296657633.2	-4.6
III	-296657342.7	-5.2
III	-296657265.3	-5.7
III	-296657110.4	-4.5
III	-296656994.2	-4.5
III	-296656839.3	-4.5
III	-296656723.2	-4.5
III	-296656568.3	-4.5
III	-296656452.1	-4.5
III	-296656297.2	-4.5
III	-296656181	-4.5
III	-296656026.1	-3.7
III	-296654864.4	-4.2
III	-296654283.5	-4.6
III	-296654167.4	-4.4
III	-296653780.1	-4.4
III	-296653431.6	-4.4
III	-296653044.4	-4.5
III	-296652695.9	-4.4
III	-296652308.6	-5.7
III	-296651960.1	-4.5
III	-296651572.9	-5
III	-296650333.7	-5.2
III	-296650023.9	-3.2
III	-296646503.6	51.6
III	-296646116.3	1.7
III	-296645535.5	23.9
III	-296645341.8	23.8
III	-296645148.2	23.8
III	-296644954.6	2.8
III	-296643018.4	-5.5
III	-296642708.6	8.6
III	-296625106.8	1.9
III	-296623364.2	-5
III	-296620847.2	23.6
III	-296619879.1	1.8
III	-296617942.9	-5.4
III	-296615619.4	50.8
III	-296614651.3	0.5
III	-296614070.5	50.3
III	-296613683.2	23.8
III	-296612134.3	37.6
III	-296611824.5	50
III	-296611630.9	37.5
III	-296611437.3	50
III	-296611243.6	37.5
III	-296611050	50
III	-296610856.4	37.5
III	-296610662.8	50
III	-296610469.2	37.5
III	-296610275.5	50
III	-296610081.9	37.5
III	-296609888.3	37.7
III	-296609423.6	49.9
III	-296609230	37.4
III	-296609036.4	49.9
III	-296608842.7	37.4
III	-296608649.1	49.9
III	-296608455.5	37.4
III	-296608261.9	49.9
III	-296608068.3	37.4
III	-296607874.6	49.9
III	-296607681	37.4
III	-296607487.4	49.9
