interval	time	level_max	level_avg	level_min
I	296925361	30.8	24.8	18.8
I	296904587.7	21.8	19.3	16.8
I	296903756.8	24.6	18.6	12.6
I	296891292.8	51.2	36.2	21.2
I	296890794.2	16.6	10.6	4.6
I	296889630.9	51.1	36.1	21.1
I	296889132.4	10	8	6
I	296885808.6	18.4	12.4	6.4
I	296881654	8.1	6.1	4.1
I	296880823	16.8	10.8	4.8
I	296878828.8	11.3	9.3	7.3
I	296873012.3	16.9	10.9	4.9
I	296870519.5	8.9	6.9	4.9
I	296868026.7	16.8	10.8	4.8
I	296865533.9	8.1	6.1	4.1
I	296863872	16.6	10.6	4.6
I	296861379.2	10.8	8.8	6.8
I	296855562.7	16.2	10.2	4.2
I	296853402.3	10.8	8.8	6.8
I	296847253.4	16.1	10.1	4.1
I	296844760.6	9.2	7.2	5.2
I	296840605.9	14.7	12.2	9.7
I	296839915.6	50.4	35.4	20.4
I	296838120.8	7.8	5.8	3.8
I	296835628	15.6	13.1	10.6
I	296833327	7.5	5.5	3.5
I	296831166.5	75.2	62.7	50.2
I	296829296.9	10.6	8.6	6.6
I	296822317.1	50.2	35.2	20.2
I	296820016.1	12.3	10.3	8.3
I	296810044.9	59.4	44.4	29.4
II	296793426.2	48.7	33.7	18.7
II	296792096.7	18.5	16	13.5
II	296790933.4	18.6	16.1	13.6
II	296789603.9	13.4	7.4	1.4
II	296788440.6	18.5	16	13.5
II	296787111.1	2.4	1.6	0.9
II	296786650.9	2.6	1.1	-0.4
II	296783659.6	4.3	3.5	2.8
II	296780208	2.4	1.7	0.9
II	296779377.1	2.3	1.5	0.8
II	296778686.8	2	1.3	0.5
II	296778387.6	2.1	1.3	0.6
II	296777938.9	2	1.7	1.5
II	296777639.8	2.2	1.5	0.7
II	296776949.5	2.2	2	1.7
II	296776201.6	2.2	2	1.7
II	296775453.8	2.2	2	1.7
II	296774706	0.5	-0.5	-1.5
II	296774245.8	2	1.7	1.5
II	296773797.1	1.2	0.2	-0.8
II	296772186.3	2.1	1.9	1.6
II	296771438.5	0.5	-0.5	-1.5
II	296770748.2	2.1	1.8	1.6
II	296770000.3	0.3	-0.7	-1.7
II	296769540.1	1.8	1.6	1.3
II	296769091.4	1.1	0.1	-0.9
II	296767480.7	1.8	1.5	1.3
II	296767032	1	0	-1
II	296765421.3	2.4	2.1	1.9
II	296763925.6	0.3	-0.7	-1.7
II	296763235.3	1.5	1.3	1
II	296762936.1	0.3	-0.7	-1.7
II	296762245.8	2	1.7	1.5
II	296761198.8	0.2	-0.8	-1.8
II	296760508.5	2.4	2.2	1.9
II	296758713.7	0.4	-0.6	-1.6
II	296757563.2	1.4	1.2	0.9
II	296757114.5	-0.1	-1.1	-2.1
II	296756654.3	1.4	1.2	0.9
II	296756205.6	-0.1	-1.1	-2.1
II	296755745.4	1.4	1.1	0.9
II	296755296.7	-0.1	-1.1	-2.1
II	296754836.5	1.4	1.1	0.9
II	296754387.8	0.3	-0.7	-1.7
II	296753237.2	1.2	1	0.7
II	296752938.1	0	-1	-2
II	296752247.8	-0.2	-1.2	-2.2
II	296751787.6	1.3	1	0.8
II	296751338.9	-0.2	-1.2	-2.2
II	296750878.7	1.2	1	0.7
II	296750430	-0.3	-1.3	-2.3
II	296749969.8	1.2	1	0.7
II	296749521	-0.3	-1.3	-2.3
II	296749060.8	1.2	0.9	0.7
II	296748612.1	-0.3	-1.3	-2.3
II	296748151.9	1.1	0.9	0.6
II	296747703.2	-0.4	-1.4	-2.4
II	296747243	1.1	0.9	0.6
II	296746794.3	-0.5	-1.5	-2.5
II	296746564.2	0.9	0.6	0.4
II	296746414.6	-0.6	-1.6	-2.6
II	296746184.5	0.9	0.6	0.4
II	296746035	-0.6	-1.6	-2.6
II	296745804.9	1	0.7	0.5
II	296745505.7	0.5	-0.5	-1.5
II	296743664.9	0.8	0.6	0.3
II	296743515.3	1.1	0.8	0.6
II	296742917.1	0	-1	-2
II	296741766.5	0.8	0.6	0.3
